language,domain,target_task,conflict_type,aspect_is_null,groups,group_size_distribution,mean_valence_spread,max_valence_spread,mean_arousal_spread,max_arousal_spread,mean_max_va_distance,max_va_distance
eng,restaurant,1,category_varies,False,17,"{""2"": 16, ""3"": 1}",0.15823529411764703,0.2599999999999998,0.15647058823529403,0.33999999999999986,0.233027462174937,0.3801315561749641
eng,restaurant,1,category_varies,True,8,"{""2"": 8}",0.16375,0.33999999999999986,0.20625000000000004,0.3799999999999999,0.27785241144407685,0.4808326112068521
eng,restaurant,1,opinion_and_category_vary,False,78,"{""2"": 60, ""3"": 11, ""4"": 6, ""6"": 1}",0.9898717948717948,4.66,0.8441025641025641,3.83,1.3474380478071433,5.304507517197049
eng,restaurant,1,opinion_and_category_vary,True,41,"{""2"": 32, ""3"": 9}",0.9819512195121951,3.25,0.8236585365853658,3.0,1.3138182854948584,4.124184767926868
eng,restaurant,1,opinion_varies,False,197,"{""2"": 170, ""3"": 22, ""4"": 3, ""6"": 2}",0.5639593908629441,4.0,0.4823857868020305,4.34,0.7838382590617917,5.575446170487165
eng,restaurant,1,opinion_varies,True,28,"{""2"": 24, ""3"": 4}",0.5146428571428572,2.0,0.4364285714285715,2.0,0.6925847256459816,2.8284271247461903
eng,restaurant,1,same_relation_different_va,False,1,"{""2"": 1}",0.25,0.25,0.25,0.25,0.3535533905932738,0.3535533905932738
eng,restaurant,2,category_varies,False,23,"{""2"": 22, ""3"": 1}",0.20608695652173914,0.5,0.27521739130434775,2.5,0.37154810790203663,2.5495097567963922
eng,restaurant,2,category_varies,True,9,"{""2"": 9}",0.17333333333333334,0.33999999999999986,0.21111111111111114,0.3799999999999999,0.2862636313495432,0.4808326112068521
eng,restaurant,2,same_relation_different_va,False,1,"{""2"": 1}",0.25,0.25,0.25,0.25,0.3535533905932738,0.3535533905932738
eng,restaurant,2,same_relation_different_va,True,1,"{""2"": 1}",0.0,0.0,0.16000000000000014,0.16000000000000014,0.16000000000000014,0.16000000000000014
jpn,hotel,1,category_varies,False,3,"{""2"": 3}",0.12666666666666662,0.20999999999999996,0.09666666666666668,0.20999999999999996,0.18232828269944998,0.2969848480983499
jpn,hotel,1,category_varies,True,2,"{""2"": 2}",0.18500000000000005,0.3700000000000001,0.16500000000000004,0.33000000000000007,0.3500000000000001,0.3700000000000001
jpn,hotel,1,opinion_and_category_vary,False,167,"{""2"": 140, ""3"": 25, ""4"": 2}",0.5049101796407186,3.05,0.49377245508982043,2.13,0.7691692888883325,3.4784191811798646
jpn,hotel,1,opinion_and_category_vary,True,29,"{""2"": 24, ""3"": 5}",0.42551724137931035,1.17,0.4824137931034483,1.63,0.6730368720843503,1.7942686532400882
jpn,hotel,1,opinion_varies,False,110,"{""2"": 106, ""3"": 4}",0.4742727272727273,3.63,0.47418181818181815,1.79,0.7311716635487427,3.883464947698125
jpn,hotel,1,opinion_varies,True,11,"{""2"": 10, ""3"": 1}",0.2490909090909091,0.5800000000000001,0.4063636363636363,1.13,0.5006165414826578,1.1921828718783036
jpn,hotel,2,category_varies,False,3,"{""2"": 3}",0.12666666666666662,0.20999999999999996,0.09666666666666668,0.20999999999999996,0.18232828269944998,0.2969848480983499
jpn,hotel,2,category_varies,True,2,"{""2"": 2}",0.18500000000000005,0.3700000000000001,0.16500000000000004,0.33000000000000007,0.3500000000000001,0.3700000000000001
rus,restaurant,1,opinion_and_category_vary,False,35,"{""2"": 27, ""3"": 7, ""4"": 1}",0.902,4.6,0.8705714285714286,2.16,1.3072942655834634,4.886972477925367
rus,restaurant,1,opinion_varies,False,345,"{""2"": 256, ""3"": 67, ""4"": 16, ""5"": 3, ""6"": 1, ""7"": 2}",0.544695652173913,2.33,0.686,3.0,0.8991073978916587,3.7985391929003445
tat,restaurant,1,opinion_and_category_vary,False,36,"{""2"": 28, ""3"": 7, ""4"": 1}",1.015,4.97,0.8611111111111112,2.16,1.4098188601127941,4.998179668639374
tat,restaurant,1,opinion_varies,False,341,"{""2"": 253, ""3"": 66, ""4"": 15, ""5"": 4, ""6"": 1, ""7"": 2}",0.5424046920821114,2.33,0.6864222873900293,3.0,0.8980738833839177,3.7985391929003445
ukr,restaurant,1,opinion_and_category_vary,False,36,"{""2"": 28, ""3"": 7, ""4"": 1}",0.8963888888888888,4.6,0.8658333333333333,2.16,1.2984791330300662,4.886972477925367
ukr,restaurant,1,opinion_varies,False,347,"{""2"": 258, ""3"": 67, ""4"": 16, ""5"": 3, ""6"": 1, ""7"": 2}",0.5445244956772334,2.33,0.6873198847262247,3.0,0.9001255820071264,3.7985391929003445
zho,laptop,1,opinion_and_category_vary,False,227,"{""2"": 169, ""3"": 50, ""4"": 5, ""5"": 2, ""6"": 1}",0.7496475770925111,4.0,0.6910132158590309,2.87,1.1230852272219272,4.186322968907201
zho,laptop,1,opinion_varies,False,263,"{""2"": 241, ""3"": 21, ""4"": 1}",0.48338403041825095,3.5,0.5354752851711027,2.71,0.7877012175867992,3.878002062918482
zho,restaurant,1,opinion_and_category_vary,False,95,"{""2"": 74, ""3"": 19, ""4"": 2}",0.8274736842105264,2.5,0.6096842105263158,2.5,1.1119395921347974,3.5355339059327378
zho,restaurant,1,opinion_and_category_vary,True,2,"{""2"": 1, ""3"": 1}",1.375,2.5,0.375,0.5,1.451531573694833,2.5495097567963922
zho,restaurant,1,opinion_varies,False,692,"{""2"": 602, ""3"": 82, ""4"": 7, ""5"": 1}",0.49842485549132953,2.66,0.5198988439306358,2.5,0.7770416043056966,3.053784537258646
zho,restaurant,1,opinion_varies,True,11,"{""2"": 9, ""3"": 2}",0.28,1.0,0.4527272727272727,1.25,0.5615144850813963,1.6007810593582121
