language,domain,record_id,text,target_task,aspect,aspect_is_null,source_count,distinct_va,distinct_opinions,distinct_categories,conflict_type,valence_min,valence_max,valence_spread,arousal_min,arousal_max,arousal_spread,max_va_distance,opinions,categories,vas
eng,laptop,laptop_quad_dev_209,"i went through two of them , both came with sharp edges that made them dangerous and uncomfortable to use .",1,,True,2,2,2,1,opinion_varies,2.5,2.67,0.16999999999999993,7.0,7.17,0.16999999999999993,0.24041630560342606,"[""dangerous"", ""uncomfortable""]","[""laptop#design_features""]","[[2.5, 7.17], [2.67, 7.0]]"
eng,laptop,laptop_quad_dev_212,"first , the factory default driver configuration of this thing is unstable , which makes installing a correct configuration more difficult .",1,factory default driver,False,2,2,2,1,opinion_varies,2.75,2.88,0.1299999999999999,5.75,7.5,1.75,1.7548219282878819,"[""more difficult"", ""unstable""]","[""software#operation_performance""]","[[2.75, 7.5], [2.88, 5.75]]"
eng,laptop,laptop_quad_dev_217,"monitor screen is ok , sometimes the contrast is poor but looks better in games .",1,contrast,False,2,2,2,1,opinion_varies,3.62,6.0,2.38,4.62,6.0,1.38,2.751145216087293,"[""better"", ""poor""]","[""display#operation_performance""]","[[3.62, 4.62], [6.0, 6.0]]"
eng,laptop,laptop_quad_dev_232,"battery charger is super tiny and lightweight , which is an additional advantage vs the 1 lb brick that you have to lug around with the ux501vw .",1,battery charger,False,2,2,2,1,opinion_varies,6.5,6.62,0.1200000000000001,6.5,6.62,0.1200000000000001,0.16970562748477155,"[""lightweight"", ""super tiny""]","[""power_supply#design_features""]","[[6.5, 6.5], [6.62, 6.62]]"
eng,laptop,laptop_quad_dev_233,"i just opened it earlier today and my initial impressions is that it is very attractive and very sturdy feeling and i love the screen which non reflective , it ' s very nice not looking into a reflective glossy screen for a change .",1,,True,2,2,2,1,opinion_varies,6.83,7.0,0.16999999999999993,7.17,7.17,0.0,0.16999999999999993,"[""very attractive"", ""very sturdy""]","[""laptop#general""]","[[6.83, 7.17], [7.0, 7.17]]"
eng,laptop,laptop_quad_dev_239,"it ' s light weight , sleek , the screen resolution is great and it runs very well for everyday use .",1,,True,3,3,3,2,opinion_and_category_vary,6.83,7.5,0.6699999999999999,7.0,7.5,0.5,0.8360023923410745,"[""light"", ""sleek"", ""very well""]","[""laptop#design_features"", ""laptop#operation_performance""]","[[6.83, 7.0], [7.17, 7.33], [7.5, 7.5]]"
eng,laptop,laptop_quad_dev_243,this has been a very light convenient laptop for me .,1,laptop,False,2,2,2,2,opinion_and_category_vary,7.0,7.62,0.6200000000000001,7.12,7.75,0.6299999999999999,0.883911760301898,"[""convenient"", ""very light""]","[""laptop#design_features"", ""laptop#usability""]","[[7.0, 7.12], [7.62, 7.75]]"
eng,laptop,laptop_quad_dev_245,"this little vivo had the speed / storage that we need , the materials feel substantial instead of cheap .",1,materials,False,2,2,2,1,opinion_varies,6.88,6.88,0.0,6.88,7.0,0.1200000000000001,0.1200000000000001,"[""instead of cheap"", ""substantial""]","[""laptop#quality""]","[[6.88, 6.88], [6.88, 7.0]]"
eng,laptop,laptop_quad_dev_248,love the form factor and the light weight as i often use my laptop while laying down .,1,my laptop,False,2,2,2,1,opinion_varies,7.33,7.33,0.0,7.5,7.67,0.16999999999999993,0.16999999999999993,"[""light"", ""love""]","[""laptop#design_features""]","[[7.33, 7.5], [7.33, 7.67]]"
eng,laptop,laptop_quad_dev_258,"( good ) as for the laptop ( when it worked , and i mean for the whole 30 minutes ) it was extremely fast .",1,laptop,False,2,2,2,2,opinion_and_category_vary,6.83,7.83,1.0,7.0,7.67,0.6699999999999999,1.2037026210821342,"[""extremely fast"", ""good""]","[""laptop#general"", ""laptop#operation_performance""]","[[6.83, 7.0], [7.83, 7.67]]"
eng,laptop,laptop_quad_dev_271,- sleek and nice texture on lid,1,lid,False,2,2,2,1,opinion_varies,7.0,7.38,0.3799999999999999,7.25,7.5,0.25,0.45486261662176625,"[""nice"", ""sleek""]","[""laptop#design_features""]","[[7.0, 7.25], [7.38, 7.5]]"
eng,laptop,laptop_quad_dev_281,a big part of this device is its gorgeous aesthetic .,1,device,False,2,2,2,1,opinion_varies,7.83,8.0,0.16999999999999993,8.0,8.17,0.16999999999999993,0.24041630560342606,"[""aesthetic"", ""gorgeous""]","[""laptop#design_features""]","[[7.83, 8.0], [8.0, 8.17]]"
eng,laptop,laptop_quad_dev_282,this is a great device and the $ 450 asking price seems fair .,1,device,False,2,2,2,2,opinion_and_category_vary,6.5,7.33,0.8300000000000001,6.5,7.17,0.6699999999999999,1.0666770832824712,"[""fair"", ""great""]","[""laptop#general"", ""laptop#price""]","[[6.5, 6.5], [7.33, 7.17]]"
eng,laptop,laptop_quad_dev_284,i ' m usually peaked with ram ( ~ 95 % ) which is good because it ' s better used than not used .,1,ram,False,2,2,2,1,opinion_varies,6.75,7.0,0.25,7.25,7.5,0.25,0.3535533905932738,"[""better"", ""good""]","[""memory#operation_performance""]","[[6.75, 7.25], [7.0, 7.5]]"
eng,laptop,laptop_quad_dev_285,but it is a bit big and heavy .,1,,True,2,2,2,1,opinion_varies,4.0,4.12,0.1200000000000001,5.25,5.25,0.0,0.1200000000000001,"[""a bit big"", ""heavy""]","[""laptop#design_features""]","[[4.0, 5.25], [4.12, 5.25]]"
eng,laptop,laptop_quad_dev_299,"setup was fast and easy , but then again i ' ve been a gmail / gcal / gdocs purist for a while now .",1,setup,False,2,2,2,1,opinion_varies,7.38,7.5,0.1200000000000001,7.5,7.75,0.25,0.277308492477241,"[""easy"", ""fast""]","[""laptop#usability""]","[[7.38, 7.5], [7.5, 7.75]]"
eng,laptop,laptop_quad_dev_313,"the speakers are super clear and get loud enough , but obviously lack bass .",1,speakers,False,3,3,3,1,opinion_varies,6.5,7.5,1.0,6.38,7.62,1.2400000000000002,1.5929846201391904,"[""NULL"", ""loud"", ""super clear""]","[""multimedia_devices#operation_performance""]","[[6.5, 6.38], [7.5, 7.5], [7.5, 7.62]]"
eng,laptop,laptop_quad_dev_317,overall i like its slim design and feather light - weight alone with well equipped spec that can meet my daily work environment .,1,design,False,3,3,3,1,opinion_varies,6.88,7.12,0.2400000000000002,6.88,7.25,0.3700000000000001,0.44102154142399913,"[""light - weight"", ""like"", ""slim""]","[""laptop#design_features""]","[[6.88, 6.88], [7.0, 7.0], [7.12, 7.25]]"
eng,laptop,laptop_quad_dev_318,"i ' m four months into owning this lean , mean , little machine .",1,machine,False,2,2,2,1,opinion_varies,7.5,7.67,0.16999999999999993,7.83,8.0,0.16999999999999993,0.24041630560342606,"[""lean"", ""mean""]","[""laptop#design_features""]","[[7.5, 7.83], [7.67, 8.0]]"
eng,laptop,laptop_quad_dev_322,it works perfectly and feels very tight but it is something i noticed .,1,,True,2,2,2,1,opinion_varies,7.0,7.83,0.8300000000000001,7.0,8.0,1.0,1.2995768542106312,"[""perfectly"", ""very tight""]","[""laptop#operation_performance""]","[[7.0, 7.0], [7.83, 8.0]]"
eng,laptop,laptop_quad_test_7,hopefully in 10 years they ' ll have this figured out and it won ' t suck so badly .,1,,True,2,2,2,1,opinion_varies,2.0,2.33,0.33000000000000007,6.0,6.12,0.1200000000000001,0.3511409973215889,"[""so badly"", ""suck""]","[""laptop#general""]","[[2.0, 6.12], [2.33, 6.0]]"
eng,laptop,laptop_quad_test_11,"it is glitchy , and barely usable .",1,,True,2,2,2,1,opinion_varies,2.88,3.12,0.2400000000000002,6.12,6.38,0.2599999999999998,0.3538361202590826,"[""barely usable"", ""glitchy""]","[""hardware#operation_performance""]","[[2.88, 6.38], [3.12, 6.12]]"
eng,laptop,laptop_quad_test_47,crazy keypad : this issue is even worse .,1,keypad,False,2,2,2,1,opinion_varies,2.5,2.7,0.20000000000000018,7.2,7.4,0.20000000000000018,0.2828427124746193,"[""crazy"", ""even worse""]","[""keyboard#general""]","[[2.5, 7.4], [2.7, 7.2]]"
eng,laptop,laptop_quad_test_51,"i like the speed , the processor the hybrid storage units ( 128ssd and 1tera ) , but the web cam sucks , really poor resolution and the keyboard doesn ' t have the numerical part and the caps lock or num lock don ' t have any light or guide to help you .",1,web cam,False,2,2,2,1,opinion_varies,2.75,3.0,0.25,7.75,8.0,0.25,0.3535533905932738,"[""really poor"", ""sucks""]","[""hardware#operation_performance""]","[[2.75, 7.75], [3.0, 8.0]]"
eng,laptop,laptop_quad_test_59,"it ' s still a mainly functional computer , but using it is just not the greatest .",1,computer,False,2,2,2,1,opinion_varies,4.0,6.5,2.5,5.17,6.0,0.8300000000000001,2.6341791890454225,"[""just not the greatest"", ""mainly functional""]","[""laptop#general""]","[[4.0, 5.17], [6.5, 6.0]]"
eng,laptop,laptop_quad_test_75,"what they lack in size , they make up for in raw speed , durability , and energy efficiency .",2,,True,2,2,1,2,category_varies,5.9,6.8,0.8999999999999995,6.3,6.7,0.40000000000000036,0.9848857801796101,"[""NULL""]","[""laptop#design_features"", ""laptop#operation_performance""]","[[5.9, 6.3], [6.8, 6.7]]"
eng,laptop,laptop_quad_test_75,"what they lack in size , they make up for in raw speed , durability , and energy efficiency .",1,,True,2,2,1,2,category_varies,5.9,6.8,0.8999999999999995,6.3,6.7,0.40000000000000036,0.9848857801796101,"[""NULL""]","[""laptop#design_features"", ""laptop#operation_performance""]","[[5.9, 6.3], [6.8, 6.7]]"
eng,laptop,laptop_quad_test_76,+ decent quantity of available ports,1,ports,False,2,2,2,1,opinion_varies,6.75,6.88,0.1299999999999999,7.0,7.12,0.1200000000000001,0.1769180601295413,"[""available"", ""decent""]","[""ports#quality""]","[[6.75, 7.0], [6.88, 7.12]]"
eng,laptop,laptop_quad_test_89,"it ' s not fancy , but it ' s good value and fast and trouble - free .",1,,True,4,3,4,2,opinion_and_category_vary,4.83,6.83,2.0,5.5,6.83,1.33,2.4018534509832192,"[""fast"", ""good"", ""not fancy"", ""trouble - free""]","[""laptop#design_features"", ""laptop#operation_performance""]","[[4.83, 5.5], [6.33, 6.33], [6.83, 6.83]]"
eng,laptop,laptop_quad_test_99,"screen is decent , not great , it is matte finished .",1,screen,False,2,2,2,1,opinion_varies,5.25,6.25,1.0,6.12,6.38,0.2599999999999998,1.0332473082471592,"[""decent"", ""not great""]","[""display#design_features""]","[[5.25, 6.12], [6.25, 6.38]]"
eng,laptop,laptop_quad_test_101,it ' s a lot of good for a comparatively cheap price .,1,,True,2,2,2,1,opinion_varies,6.62,6.62,0.0,6.62,6.75,0.1299999999999999,0.1299999999999999,"[""a lot of good"", ""comparatively cheap""]","[""laptop#price""]","[[6.62, 6.62], [6.62, 6.75]]"
eng,laptop,laptop_quad_test_103,this thing boots up super quick and it sleek and beautiful .,1,,True,2,2,2,1,opinion_varies,7.67,7.83,0.16000000000000014,7.83,8.17,0.33999999999999986,0.37576588456111865,"[""beautiful"", ""sleek""]","[""laptop#design_features""]","[[7.67, 7.83], [7.83, 8.17]]"
eng,laptop,laptop_quad_test_105,"i would highly recommend this to anyone , but especially to someone wanting something that is affordable , easy to use and just a bit more than a tablet .",1,,True,2,2,2,2,opinion_and_category_vary,7.17,7.33,0.16000000000000014,7.5,7.67,0.16999999999999993,0.23345235059857508,"[""affordable"", ""easy""]","[""laptop#price"", ""laptop#usability""]","[[7.17, 7.5], [7.33, 7.67]]"
eng,laptop,laptop_quad_test_122,great price for a good book used for college students who carry all day,1,book,False,2,2,2,2,opinion_and_category_vary,7.38,7.62,0.2400000000000002,7.25,7.62,0.3700000000000001,0.44102154142399913,"[""good"", ""great""]","[""laptop#general"", ""laptop#price""]","[[7.38, 7.25], [7.62, 7.62]]"
eng,laptop,laptop_quad_test_131,"however , still 5 stars as you get what you pay for : a cheap , decently rugged , light weight notebook to kick around and tinker with .",1,notebook,False,3,3,3,2,opinion_and_category_vary,6.12,6.62,0.5,6.5,6.88,0.3799999999999999,0.6280127387243032,"[""cheap"", ""decently"", ""light""]","[""laptop#design_features"", ""laptop#price""]","[[6.12, 6.5], [6.62, 6.75], [6.62, 6.88]]"
eng,laptop,laptop_quad_test_146,"the display is crisp and bright , setup literally takes under a minute , its fast , cheap , charges fast , lasts forever .",1,setup,False,2,2,2,1,opinion_varies,7.5,7.67,0.16999999999999993,7.5,7.67,0.16999999999999993,0.24041630560342606,"[""cheap"", ""fast""]","[""os#operation_performance""]","[[7.5, 7.5], [7.67, 7.67]]"
eng,laptop,laptop_quad_test_149,"it is taking me a while to get used to the small , tight keyboard .",1,keyboard,False,2,2,2,1,opinion_varies,5.83,6.0,0.16999999999999993,6.33,6.83,0.5,0.5281098370604357,"[""small"", ""tight""]","[""keyboard#design_features""]","[[5.83, 6.33], [6.0, 6.83]]"
eng,laptop,laptop_quad_test_157,excellent laptop at a reasonable price .,1,laptop,False,2,2,2,2,opinion_and_category_vary,7.83,8.0,0.16999999999999993,8.17,8.33,0.16000000000000014,0.23345235059857508,"[""excellent"", ""reasonable""]","[""laptop#general"", ""laptop#price""]","[[7.83, 8.17], [8.0, 8.33]]"
eng,laptop,laptop_quad_test_164,"it is fast enough for what we do , and it has all the features we needed for less .",1,,True,2,2,2,2,opinion_and_category_vary,5.5,6.88,1.38,5.25,6.62,1.37,1.9445565047074358,"[""NULL"", ""fast""]","[""laptop#general"", ""laptop#operation_performance""]","[[5.5, 5.25], [6.88, 6.62]]"
eng,laptop,laptop_quad_test_169,"great performance , quiet and cool processor .",1,processor,False,3,2,3,2,opinion_and_category_vary,7.33,7.5,0.16999999999999993,7.67,7.67,0.0,0.16999999999999993,"[""cool"", ""great"", ""quiet""]","[""cpu#general"", ""laptop#operation_performance""]","[[7.33, 7.67], [7.5, 7.67]]"
eng,laptop,laptop_quad_test_174,laptop booted right up and the set up waa super easy .,1,laptop,False,2,2,2,2,opinion_and_category_vary,6.83,7.67,0.8399999999999999,6.5,7.5,1.0,1.3059862173851606,"[""NULL"", ""super easy""]","[""laptop#operation_performance"", ""laptop#usability""]","[[6.83, 6.5], [7.67, 7.5]]"
eng,laptop,laptop_quad_test_176,"it ' s a very good lappy and i ' m happy with it , because it can still get all i need to do , done .",1,lappy,False,2,2,2,1,opinion_varies,6.83,7.0,0.16999999999999993,7.0,7.33,0.33000000000000007,0.37121422386541175,"[""happy"", ""very good""]","[""laptop#general""]","[[6.83, 7.0], [7.0, 7.33]]"
eng,laptop,laptop_quad_test_177,"nice and thin , light , surprised it has a dvd player in it .",1,,True,4,3,4,2,opinion_and_category_vary,7.17,7.5,0.33000000000000007,7.33,7.5,0.16999999999999993,0.37121422386541175,"[""light"", ""nice"", ""surprised"", ""thin""]","[""laptop#design_features"", ""laptop#general""]","[[7.17, 7.33], [7.5, 7.33], [7.5, 7.5]]"
eng,laptop,laptop_quad_test_198,i love how sleek and thin it is .,1,,True,3,3,3,1,opinion_varies,6.62,7.25,0.6299999999999999,6.62,7.25,0.6299999999999999,0.8909545442950497,"[""love"", ""sleek"", ""thin""]","[""laptop#design_features""]","[[6.62, 6.62], [6.75, 6.75], [7.25, 7.25]]"
eng,laptop,laptop_quad_test_215,"great computer , setup was fast and easy .",1,setup,False,2,2,2,1,opinion_varies,7.25,7.38,0.1299999999999999,7.25,7.5,0.25,0.2817800560721074,"[""easy"", ""fast""]","[""laptop#usability""]","[[7.25, 7.25], [7.38, 7.5]]"
eng,laptop,laptop_quad_test_224,"it was fine for a solid two days , from there on it has been nonstop , reset to factory settings .",1,,True,3,3,3,1,opinion_varies,5.0,7.0,2.0,5.0,7.0,2.0,2.8284271247461903,"[""NULL"", ""fine"", ""solid""]","[""laptop#operation_performance""]","[[5.0, 5.0], [7.0, 6.5], [7.0, 7.0]]"
eng,laptop,laptop_quad_test_232,"gorgeous screen , small profile , lightweight , built in stylus , i could go on and on about how awesome this thing was .",1,profile,False,2,2,2,1,opinion_varies,6.83,7.0,0.16999999999999993,7.0,7.0,0.0,0.16999999999999993,"[""lightweight"", ""small""]","[""laptop#design_features""]","[[6.83, 7.0], [7.0, 7.0]]"
eng,laptop,laptop_quad_test_253,"it has a nice , oversize trackpad that - like pretty much all chromebooks - is responsive and a pleasure to use .",1,trackpad,False,4,4,4,2,opinion_and_category_vary,6.5,7.67,1.17,6.5,7.5,1.0,1.5391231269784753,"[""nice"", ""oversize"", ""pleasure"", ""responsive""]","[""keyboard#design_features"", ""keyboard#operation_performance""]","[[6.5, 6.5], [6.67, 6.67], [7.0, 7.33], [7.67, 7.5]]"
eng,laptop,laptop_quad_test_255,"this unit not only has a nice aluminum shell ( which is very attractive ) , but it also has a decent keyboard , with much better tactile properties than any chromebooks i ' ve looked at in the past .",1,aluminum shell,False,2,2,2,1,opinion_varies,6.62,7.12,0.5,6.5,7.0,0.5,0.7071067811865476,"[""nice"", ""very attractive""]","[""laptop#design_features""]","[[6.62, 6.5], [7.12, 7.0]]"
eng,laptop,laptop_quad_test_255,"this unit not only has a nice aluminum shell ( which is very attractive ) , but it also has a decent keyboard , with much better tactile properties than any chromebooks i ' ve looked at in the past .",1,keyboard,False,2,2,2,1,opinion_varies,6.75,6.75,0.0,6.62,6.75,0.1299999999999999,0.1299999999999999,"[""decent"", ""much better""]","[""laptop#design_features""]","[[6.75, 6.62], [6.75, 6.75]]"
eng,laptop,laptop_quad_test_268,"this is a solid , well - balanced design .",1,design,False,2,2,2,1,opinion_varies,7.62,7.88,0.2599999999999998,7.38,7.38,0.0,0.2599999999999998,"[""solid"", ""well - balanced""]","[""laptop#design_features""]","[[7.62, 7.38], [7.88, 7.38]]"
eng,laptop,laptop_quad_test_291,very sharp screen and good viewing angles .,1,screen,False,2,2,2,1,opinion_varies,6.88,7.38,0.5,6.88,7.5,0.6200000000000001,0.7964923100695952,"[""good"", ""very sharp""]","[""display#general""]","[[6.88, 6.88], [7.38, 7.5]]"
eng,laptop,laptop_quad_test_297,this thing is fast and efficient .,1,,True,2,2,2,1,opinion_varies,7.33,7.5,0.16999999999999993,7.67,7.83,0.16000000000000014,0.23345235059857508,"[""efficient"", ""fast""]","[""laptop#operation_performance""]","[[7.33, 7.67], [7.5, 7.83]]"
eng,laptop,laptop_quad_test_309,"- laptop is sleek and dare i say , sexy",1,laptop,False,2,2,2,1,opinion_varies,7.25,7.5,0.25,7.5,7.5,0.0,0.25,"[""sexy"", ""sleek""]","[""laptop#design_features""]","[[7.25, 7.5], [7.5, 7.5]]"
eng,laptop,laptop_quad_test_313,i am in love with how light and speedy it is .,2,,True,2,2,1,2,category_varies,6.88,7.0,0.1200000000000001,6.75,6.75,0.0,0.1200000000000001,"[""love""]","[""laptop#design_features"", ""laptop#operation_performance""]","[[6.88, 6.75], [7.0, 6.75]]"
