language,domain,record_id,text,target_subtask,structure,source_count,vas,opinions,categories
eng,laptop,laptop_quad_train_363,"this is completely different , feels solid , looks great , operates like a great samsung chromebook should , and for $ 169 , you just can ' t go wrong .",2,"['samsung chromebook', 'great']",2,"[[7.5, 7.25], [7.5, 7.5]]",['great'],"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#GENERAL']"
eng,laptop,laptop_quad_train_458,great little computer .,2,"['computer', 'great']",2,"[[7.25, 7.25], [7.38, 7.5]]",['great'],['LAPTOP#GENERAL']
eng,laptop,laptop_quad_train_563,great product and price,2,"['product', 'great']",2,"[[7.0, 7.0], [7.17, 7.17]]",['great'],"['LAPTOP#GENERAL', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_train_572,love love love this laptop !,2,"['laptop', 'love']",2,"[[7.5, 7.83], [7.67, 8.0]]",['love'],['LAPTOP#GENERAL']
eng,laptop,laptop_quad_train_629,purchased as a mothers day gift but i ' ve come to respect the quality and performance of lenovo .,2,"['lenovo', 'respect']",2,"[[7.67, 7.83], [7.83, 8.0]]",['respect'],"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#QUALITY']"
eng,laptop,laptop_quad_train_1127,great deal on a great computer !,2,"['computer', None]",2,"[[7.33, 7.33], [7.67, 7.83]]",['NULL'],['LAPTOP#GENERAL']
eng,laptop,laptop_quad_train_1132,but the mac looked and worked great .,2,"['mac', 'great']",2,"[[7.5, 7.67], [7.67, 7.83]]",['great'],"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_train_1187,i love this computer .,2,"['computer', 'love']",2,"[[6.75, 6.38], [6.88, 6.5]]",['love'],['LAPTOP#GENERAL']
eng,laptop,laptop_quad_train_1436,"i ' m still using chrome for almost all native google apps , however , since chrome tabs / apps simply work better / faster / easier than their android counterparts .",2,"['chrome tabs / apps', 'better']",2,"[[7.67, 7.83], [7.67, 8.0]]",['better'],"['SOFTWARE#OPERATION_PERFORMANCE', 'SOFTWARE#USABILITY']"
eng,laptop,laptop_quad_train_1470,"i also decided that despite the advantages of the asus , i can not live with the sharp edges and middling volume .",2,"['asus', None]",2,"[[4.5, 4.88], [4.75, 4.88]]",['NULL'],"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#GENERAL']"
eng,laptop,laptop_quad_train_1519,"the bluetooth on it drops connections on a regular basis and the wifi is slow , slow , slow to connect on a regular basis .",2,"['wifi', 'slow']",2,"[[3.17, 6.83], [3.33, 6.67]]",['slow'],['PORTS#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_train_1661,"after 3 weeks using this flip , i am quite happy with its performance , design .",2,"['flip', 'quite happy']",2,"[[6.83, 7.17], [7.0, 7.17]]",['quite happy'],"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_train_1798,"this computer is fast , as the specs would have you believe , but i ' ve only had it about a week , and it has already crashed so bad once that i had to do a factory reset on it ( though , to be fair , the computer made the reboot super easy , so that was nice ) .",2,"['computer', 'super easy']",2,"[[6.0, 6.0], [6.33, 6.33]]",['super easy'],"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_train_1967,this computer functions very well as a gaming laptop for the price .,2,"['computer', 'very well']",2,"[[7.0, 6.88], [7.12, 7.0]]",['very well'],"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_train_1967,this computer functions very well as a gaming laptop for the price .,2,"['gaming laptop', 'very well']",2,"[[7.12, 7.12], [7.25, 7.25]]",['very well'],"['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_train_2072,"pros : streamlined and simple ; easy to use overall ; easy to find / delete pics & files ; good price ; looks nice from the outside , with the lid down ; good 14 ` ` screen size that ' s surprisingly hard to find",2,"[None, None]",2,"[[5.5, 5.5], [5.75, 5.5]]",['NULL'],"['DISPLAY#GENERAL', 'LAPTOP#USABILITY']"
eng,laptop,laptop_quad_train_2497,"despite the minor case marks , i can heartily recommend this chromebook based on features , design , and operation .",2,"['chromebook', 'recommend']",2,"[[7.75, 7.88], [7.88, 8.0]]",['recommend'],"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_train_2573,"i love , love , love this computer .",2,"['computer', 'love']",2,"[[7.33, 7.5], [7.5, 7.67]]",['love'],['LAPTOP#GENERAL']
eng,laptop,laptop_quad_train_2624,"i have a lot of asus products and am happy with their service and quality of product , and this is no exception .",2,"['asus products', 'happy']",2,"[[7.12, 7.25], [7.25, 7.38]]",['happy'],['LAPTOP#QUALITY']
eng,laptop,laptop_quad_train_2658,"a fantastic product , with an aluminum frame , touchscreen , and high definition ; high resolution screen ; you can ' t beat this .",2,"['touchscreen', None]",2,"[[6.38, 6.62], [6.5, 6.62]]",['NULL'],"['DISPLAY#GENERAL', 'LAPTOP#GENERAL']"
eng,laptop,laptop_quad_train_2781,"love how fast it is , love that it can do everything i ' ve asked it to do so far in the two weeks i ' ve owned it , and i love how compact and easy it is to carry around .",2,"[None, 'love']",2,"[[7.5, 7.5], [7.75, 7.5]]",['love'],['LAPTOP#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_dev_9,the keyboard is stiff and unresponsive to my typing at times .,1,['keyboard'],2,"[[3.83, 6.33], [3.83, 6.5]]","['stiff', 'unresponsive']",['KEYBOARD#QUALITY']
eng,laptop,laptop_quad_dev_23,external speakers were decent sounding until right one gave away and now is heavily distorted at even mid vol .,1,['external speakers'],2,"[[5.33, 5.17], [6.67, 6.5]]","['NULL', 'decent']",['MULTIMEDIA_DEVICES#GENERAL']
eng,laptop,laptop_quad_dev_25,keyboard is decent with good travel .,1,['keyboard'],2,"[[6.38, 6.38], [6.5, 6.38]]","['decent', 'good']",['KEYBOARD#PORTABILITY']
eng,laptop,laptop_quad_dev_34,pros : lightweight and looks nice .,1,[None],4,"[[6.88, 6.88], [6.88, 7.0], [7.0, 7.0], [7.12, 7.12]]","['lightweight', 'nice', 'pros']","['LAPTOP#GENERAL', 'LAPTOP#PORTABILITY']"
eng,laptop,laptop_quad_dev_36,"i am so disgusted and disheartened by my dealings with asus support , it ' s hard to believe .",1,['asus support'],2,"[[2.12, 7.62], [2.25, 7.5]]","['disheartened', 'so disgusted']",['SUPPORT#QUALITY']
eng,laptop,laptop_quad_dev_61,"- the battery life is excellent ( i get 6 - 8 hours of normal university student usage out of it ) and even when i ' m using it , it charges as fast as my phone .",1,['battery life'],2,"[[7.33, 7.5], [7.83, 7.83]]","['excellent', 'fast']",['BATTERY#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_dev_69,"a great chromebook at a very reasonable price , includes the google play store .",1,['chromebook'],2,"[[7.0, 7.25], [7.38, 7.5]]","['great', 'very reasonable']","['LAPTOP#GENERAL', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_dev_71,"this is a functional laptop , perfect for work and casual internet browsing .",1,['laptop'],2,"[[7.33, 7.33], [8.0, 7.83]]","['functional', 'perfect']",['LAPTOP#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_dev_79,the chromebook was packaged well and we saw no defects ( ours was used ) .,1,['chromebook'],2,"[[6.5, 6.5], [7.25, 7.12]]","['no defects', 'well']",['SHIPPING#QUALITY']
eng,laptop,laptop_quad_dev_81,"the battery life is incredible and literally lasts all day , not to mention it charges to 100 % in about an hour and a half .",1,['battery life'],2,"[[6.5, 6.5], [7.75, 7.75]]","['NULL', 'incredible']","['BATTERY#OPERATION_PERFORMANCE', 'POWER_SUPPLY#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_dev_86,excellent laptop good speed on uploads and download .,1,['laptop'],2,"[[6.83, 7.0], [8.17, 8.33]]","['excellent', 'good']","['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_dev_90,light thin best price power laptop,1,['laptop'],3,"[[6.38, 6.12], [6.5, 6.25], [6.88, 6.38]]","['best', 'light', 'thin']","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_dev_93,"overall , this was a good buy and i still love my purchase nonetheless .",1,[None],2,"[[7.17, 6.83], [7.33, 7.33]]","['good', 'still love']",['LAPTOP#GENERAL']
eng,laptop,laptop_quad_dev_96,i have always loved loved the kindles .,1,['kindles'],2,"[[7.38, 7.25], [8.12, 8.0]]","['NULL', 'always loved']",['LAPTOP#GENERAL']
eng,laptop,laptop_quad_dev_97,my only complaint is that the mouse keypad is a little big .,1,['mouse keypad'],2,"[[3.75, 6.0], [3.88, 6.0]]","['a little big', 'complaint']",['MOUSE#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_105,"it has a full size keyboard , a number pad , a camera , and great big screen !",1,['screen'],2,"[[8.17, 8.0], [8.17, 8.17]]","['big', 'great']",['DISPLAY#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_113,"so android is fun for tablet features , but its like embedding an android inside , without letting android apps out to utilize the full abilities of the chromium system .",1,['android'],2,"[[5.33, 5.17], [6.83, 6.83]]","['NULL', 'fun']",['OS#GENERAL']
eng,laptop,laptop_quad_dev_117,which is really sad because in the time i could actually use the chromebook i absolutely loved it .,1,['chromebook'],2,"[[4.0, 6.5], [7.12, 7.0]]","['absolutely loved', 'really sad']",['LAPTOP#GENERAL']
eng,laptop,laptop_quad_dev_120,another expensive & poorly executed samsung product .,1,['samsung product'],2,"[[1.88, 8.12], [2.12, 7.88]]","['expensive', 'poorly']","['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_dev_124,"for home users , these cheap machines fit many use cases from casual browsing and two - screening , to watching videos and calling family .",1,['machines'],2,"[[5.75, 5.25], [6.5, 5.5]]","['NULL', 'cheap']","['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_dev_126,"the processor on this chromebook is one of the best you can get on a chromebook at this price ( i did plenty of research ) , but you start to notice a lag when you have more than 3 browsers open at once .",1,['processor'],2,"[[5.5, 4.5], [8.0, 7.67]]","['NULL', 'best']","['CPU#OPERATION_PERFORMANCE', 'CPU#PRICE']"
eng,laptop,laptop_quad_dev_129,i was pleasantly surprised at how good it is .,1,[None],2,"[[7.67, 7.67], [7.67, 7.83]]","['good', 'pleasantly']",['LAPTOP#GENERAL']
eng,laptop,laptop_quad_dev_131,i was extremely hesitant to buy a used macbook pro ( it ' s still a lot of money ) but so far am surprisingly pleased with it .,1,['macbook pro'],2,"[[6.0, 5.83], [7.33, 7.5]]","['extremely hesitant', 'surprisingly pleased']",['LAPTOP#GENERAL']
eng,laptop,laptop_quad_dev_145,"neat and sleek build , great display and very nice os",1,['build'],2,"[[7.0, 7.17], [7.17, 7.33]]","['neat', 'sleek']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_156,it arrived on time and in excellent condition and my hubby has been happily using it now for several weeks with no problems .,1,[None],2,"[[7.88, 7.88], [8.12, 8.0]]","['excellent', 'happily']","['LAPTOP#GENERAL', 'SHIPPING#GENERAL']"
eng,laptop,laptop_quad_dev_195,i feel like i bought a decent machine but it ' s unable to handle the ram workload .,1,['machine'],2,"[[4.0, 6.25], [6.25, 6.12]]","['NULL', 'decent']","['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_dev_209,"i went through two of them , both came with sharp edges that made them dangerous and uncomfortable to use .",1,[None],2,"[[2.5, 7.17], [2.67, 7.0]]","['dangerous', 'uncomfortable']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_212,"first , the factory default driver configuration of this thing is unstable , which makes installing a correct configuration more difficult .",1,['factory default driver'],2,"[[2.75, 7.5], [2.88, 5.75]]","['more difficult', 'unstable']",['SOFTWARE#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_dev_217,"monitor screen is ok , sometimes the contrast is poor but looks better in games .",1,['contrast'],2,"[[3.62, 4.62], [6.0, 6.0]]","['better', 'poor']",['DISPLAY#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_dev_232,"battery charger is super tiny and lightweight , which is an additional advantage vs the 1 lb brick that you have to lug around with the ux501vw .",1,['battery charger'],2,"[[6.5, 6.5], [6.62, 6.62]]","['lightweight', 'super tiny']",['POWER_SUPPLY#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_233,"i just opened it earlier today and my initial impressions is that it is very attractive and very sturdy feeling and i love the screen which non reflective , it ' s very nice not looking into a reflective glossy screen for a change .",1,[None],2,"[[6.83, 7.17], [7.0, 7.17]]","['very attractive', 'very sturdy']",['LAPTOP#GENERAL']
eng,laptop,laptop_quad_dev_239,"it ' s light weight , sleek , the screen resolution is great and it runs very well for everyday use .",1,[None],3,"[[6.83, 7.0], [7.17, 7.33], [7.5, 7.5]]","['light', 'sleek', 'very well']","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_dev_243,this has been a very light convenient laptop for me .,1,['laptop'],2,"[[7.0, 7.12], [7.62, 7.75]]","['convenient', 'very light']","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#USABILITY']"
eng,laptop,laptop_quad_dev_245,"this little vivo had the speed / storage that we need , the materials feel substantial instead of cheap .",1,['materials'],2,"[[6.88, 6.88], [6.88, 7.0]]","['instead of cheap', 'substantial']",['LAPTOP#QUALITY']
eng,laptop,laptop_quad_dev_248,love the form factor and the light weight as i often use my laptop while laying down .,1,['my laptop'],2,"[[7.33, 7.5], [7.33, 7.67]]","['light', 'love']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_258,"( good ) as for the laptop ( when it worked , and i mean for the whole 30 minutes ) it was extremely fast .",1,['laptop'],2,"[[6.83, 7.0], [7.83, 7.67]]","['extremely fast', 'good']","['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_dev_271,- sleek and nice texture on lid,1,['lid'],2,"[[7.0, 7.25], [7.38, 7.5]]","['nice', 'sleek']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_281,a big part of this device is its gorgeous aesthetic .,1,['device'],2,"[[7.83, 8.0], [8.0, 8.17]]","['aesthetic', 'gorgeous']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_282,this is a great device and the $ 450 asking price seems fair .,1,['device'],2,"[[6.5, 6.5], [7.33, 7.17]]","['fair', 'great']","['LAPTOP#GENERAL', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_dev_284,i ' m usually peaked with ram ( ~ 95 % ) which is good because it ' s better used than not used .,1,['ram'],2,"[[6.75, 7.25], [7.0, 7.5]]","['better', 'good']",['MEMORY#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_dev_285,but it is a bit big and heavy .,1,[None],2,"[[4.0, 5.25], [4.12, 5.25]]","['a bit big', 'heavy']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_299,"setup was fast and easy , but then again i ' ve been a gmail / gcal / gdocs purist for a while now .",1,['setup'],2,"[[7.38, 7.5], [7.5, 7.75]]","['easy', 'fast']",['LAPTOP#USABILITY']
eng,laptop,laptop_quad_dev_313,"the speakers are super clear and get loud enough , but obviously lack bass .",1,['speakers'],3,"[[6.5, 6.38], [7.5, 7.5], [7.5, 7.62]]","['NULL', 'loud', 'super clear']",['MULTIMEDIA_DEVICES#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_dev_317,overall i like its slim design and feather light - weight alone with well equipped spec that can meet my daily work environment .,1,['design'],3,"[[6.88, 6.88], [7.0, 7.0], [7.12, 7.25]]","['light - weight', 'like', 'slim']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_318,"i ' m four months into owning this lean , mean , little machine .",1,['machine'],2,"[[7.5, 7.83], [7.67, 8.0]]","['lean', 'mean']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_dev_322,it works perfectly and feels very tight but it is something i noticed .,1,[None],2,"[[7.0, 7.0], [7.83, 8.0]]","['perfectly', 'very tight']",['LAPTOP#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_test_7,hopefully in 10 years they ' ll have this figured out and it won ' t suck so badly .,1,[None],2,"[[2.0, 6.12], [2.33, 6.0]]","['so badly', 'suck']",['LAPTOP#GENERAL']
eng,laptop,laptop_quad_test_11,"it is glitchy , and barely usable .",1,[None],2,"[[2.88, 6.38], [3.12, 6.12]]","['barely usable', 'glitchy']",['HARDWARE#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_test_47,crazy keypad : this issue is even worse .,1,['keypad'],2,"[[2.5, 7.4], [2.7, 7.2]]","['crazy', 'even worse']",['KEYBOARD#GENERAL']
eng,laptop,laptop_quad_test_51,"i like the speed , the processor the hybrid storage units ( 128ssd and 1tera ) , but the web cam sucks , really poor resolution and the keyboard doesn ' t have the numerical part and the caps lock or num lock don ' t have any light or guide to help you .",1,['web cam'],2,"[[2.75, 7.75], [3.0, 8.0]]","['really poor', 'sucks']",['HARDWARE#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_test_59,"it ' s still a mainly functional computer , but using it is just not the greatest .",1,['computer'],2,"[[4.0, 5.17], [6.5, 6.0]]","['just not the greatest', 'mainly functional']",['LAPTOP#GENERAL']
eng,laptop,laptop_quad_test_75,"what they lack in size , they make up for in raw speed , durability , and energy efficiency .",1,[None],2,"[[5.9, 6.3], [6.8, 6.7]]",['NULL'],"['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_test_76,+ decent quantity of available ports,1,['ports'],2,"[[6.75, 7.0], [6.88, 7.12]]","['available', 'decent']",['PORTS#QUALITY']
eng,laptop,laptop_quad_test_89,"it ' s not fancy , but it ' s good value and fast and trouble - free .",1,[None],4,"[[4.83, 5.5], [6.33, 6.33], [6.83, 6.83]]","['fast', 'good', 'not fancy', 'trouble - free']","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_test_99,"screen is decent , not great , it is matte finished .",1,['screen'],2,"[[5.25, 6.12], [6.25, 6.38]]","['decent', 'not great']",['DISPLAY#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_101,it ' s a lot of good for a comparatively cheap price .,1,[None],2,"[[6.62, 6.62], [6.62, 6.75]]","['a lot of good', 'comparatively cheap']",['LAPTOP#PRICE']
eng,laptop,laptop_quad_test_103,this thing boots up super quick and it sleek and beautiful .,1,[None],2,"[[7.67, 7.83], [7.83, 8.17]]","['beautiful', 'sleek']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_105,"i would highly recommend this to anyone , but especially to someone wanting something that is affordable , easy to use and just a bit more than a tablet .",1,[None],2,"[[7.17, 7.5], [7.33, 7.67]]","['affordable', 'easy']","['LAPTOP#PRICE', 'LAPTOP#USABILITY']"
eng,laptop,laptop_quad_test_122,great price for a good book used for college students who carry all day,1,['book'],2,"[[7.38, 7.25], [7.62, 7.62]]","['good', 'great']","['LAPTOP#GENERAL', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_test_131,"however , still 5 stars as you get what you pay for : a cheap , decently rugged , light weight notebook to kick around and tinker with .",1,['notebook'],3,"[[6.12, 6.5], [6.62, 6.75], [6.62, 6.88]]","['cheap', 'decently', 'light']","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_test_146,"the display is crisp and bright , setup literally takes under a minute , its fast , cheap , charges fast , lasts forever .",1,['setup'],2,"[[7.5, 7.5], [7.67, 7.67]]","['cheap', 'fast']",['OS#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_test_149,"it is taking me a while to get used to the small , tight keyboard .",1,['keyboard'],2,"[[5.83, 6.33], [6.0, 6.83]]","['small', 'tight']",['KEYBOARD#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_157,excellent laptop at a reasonable price .,1,['laptop'],2,"[[7.83, 8.17], [8.0, 8.33]]","['excellent', 'reasonable']","['LAPTOP#GENERAL', 'LAPTOP#PRICE']"
eng,laptop,laptop_quad_test_164,"it is fast enough for what we do , and it has all the features we needed for less .",1,[None],2,"[[5.5, 5.25], [6.88, 6.62]]","['NULL', 'fast']","['LAPTOP#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_test_169,"great performance , quiet and cool processor .",1,['processor'],3,"[[7.33, 7.67], [7.5, 7.67]]","['cool', 'great', 'quiet']","['CPU#GENERAL', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_test_174,laptop booted right up and the set up waa super easy .,1,['laptop'],2,"[[6.83, 6.5], [7.67, 7.5]]","['NULL', 'super easy']","['LAPTOP#OPERATION_PERFORMANCE', 'LAPTOP#USABILITY']"
eng,laptop,laptop_quad_test_176,"it ' s a very good lappy and i ' m happy with it , because it can still get all i need to do , done .",1,['lappy'],2,"[[6.83, 7.0], [7.0, 7.33]]","['happy', 'very good']",['LAPTOP#GENERAL']
eng,laptop,laptop_quad_test_177,"nice and thin , light , surprised it has a dvd player in it .",1,[None],4,"[[7.17, 7.33], [7.5, 7.33], [7.5, 7.5]]","['light', 'nice', 'surprised', 'thin']","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#GENERAL']"
eng,laptop,laptop_quad_test_198,i love how sleek and thin it is .,1,[None],3,"[[6.62, 6.62], [6.75, 6.75], [7.25, 7.25]]","['love', 'sleek', 'thin']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_215,"great computer , setup was fast and easy .",1,['setup'],2,"[[7.25, 7.25], [7.38, 7.5]]","['easy', 'fast']",['LAPTOP#USABILITY']
eng,laptop,laptop_quad_test_224,"it was fine for a solid two days , from there on it has been nonstop , reset to factory settings .",1,[None],3,"[[5.0, 5.0], [7.0, 6.5], [7.0, 7.0]]","['NULL', 'fine', 'solid']",['LAPTOP#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_test_232,"gorgeous screen , small profile , lightweight , built in stylus , i could go on and on about how awesome this thing was .",1,['profile'],2,"[[6.83, 7.0], [7.0, 7.0]]","['lightweight', 'small']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_253,"it has a nice , oversize trackpad that - like pretty much all chromebooks - is responsive and a pleasure to use .",1,['trackpad'],4,"[[6.5, 6.5], [6.67, 6.67], [7.0, 7.33], [7.67, 7.5]]","['nice', 'oversize', 'pleasure', 'responsive']","['KEYBOARD#DESIGN_FEATURES', 'KEYBOARD#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_test_255,"this unit not only has a nice aluminum shell ( which is very attractive ) , but it also has a decent keyboard , with much better tactile properties than any chromebooks i ' ve looked at in the past .",1,['aluminum shell'],2,"[[6.62, 6.5], [7.12, 7.0]]","['nice', 'very attractive']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_255,"this unit not only has a nice aluminum shell ( which is very attractive ) , but it also has a decent keyboard , with much better tactile properties than any chromebooks i ' ve looked at in the past .",1,['keyboard'],2,"[[6.75, 6.62], [6.75, 6.75]]","['decent', 'much better']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_268,"this is a solid , well - balanced design .",1,['design'],2,"[[7.62, 7.38], [7.88, 7.38]]","['solid', 'well - balanced']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_291,very sharp screen and good viewing angles .,1,['screen'],2,"[[6.88, 6.88], [7.38, 7.5]]","['good', 'very sharp']",['DISPLAY#GENERAL']
eng,laptop,laptop_quad_test_297,this thing is fast and efficient .,1,[None],2,"[[7.33, 7.67], [7.5, 7.83]]","['efficient', 'fast']",['LAPTOP#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_test_309,"- laptop is sleek and dare i say , sexy",1,['laptop'],2,"[[7.25, 7.5], [7.5, 7.5]]","['sexy', 'sleek']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_313,i am in love with how light and speedy it is .,1,[None],4,"[[6.75, 6.75], [6.88, 6.75], [6.88, 6.88], [7.0, 6.75]]","['light', 'love', 'speedy']","['LAPTOP#DESIGN_FEATURES', 'LAPTOP#OPERATION_PERFORMANCE']"
eng,laptop,laptop_quad_test_321,"it is thinner , and lighter .",1,[None],2,"[[7.25, 7.25], [7.38, 7.5]]","['lighter', 'thinner']",['LAPTOP#DESIGN_FEATURES']
eng,laptop,laptop_quad_test_351,"it arrived in great condition , and it ' s been working perfectly for me since i got it .",1,[None],2,"[[7.33, 7.67], [7.5, 7.83]]","['great', 'perfectly']",['LAPTOP#OPERATION_PERFORMANCE']
eng,laptop,laptop_quad_test_358,- speakers are a little tinny ( though the volume is awesome ) and it ' s not possible to customize the equalizer on the chrome os right now : (,1,['speakers'],2,"[[4.5, 6.0], [8.0, 7.5]]","['a little tinny', 'awesome']","['MULTIMEDIA_DEVICES#DESIGN_FEATURES', 'MULTIMEDIA_DEVICES#QUALITY']"
